glucose_uptake,oxygen_uptake,EX_nh4_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
3.81,23.77,-1.6713744084759259,-1.127583083271052,0.30651672690652976
7.35,15.01,-3.2520705002670454,-2.1939905643582143,0.5964037742567208
1.64,3.98,-0.44199119231273454,-0.29818680295644007,0.08105765704092117
0.68,21.67,-0.10165267344233304,-0.0685793885329159,0.01864228899690679
6.05,17.73,-2.790992553512479,-1.88292699284888,0.5118457587867663
8.34,5.39,-1.9364269056726477,-1.3063992183645197,0.3551252394499414
1.9,4.67,-0.5934475826300941,-0.4003659811878867,0.10883355021825379
3.11,13.17,-1.3214937381520147,-0.8915381115279849,0.2423514044439582
4.38,7.35,-1.5497507413281326,-1.0455303792773682,0.28421191705694926
6.16,3.57,-1.217117917085945,-0.8211215671919061,0.2232097119068996
2.99,9.22,-1.2615141946679145,-0.8510732592291769,0.23135163487894564
4.62,19.65,-2.0762363269936133,-1.4007208362880033,0.3807651714703665
2.08,12.9,-0.8066693232468165,-0.5442147959631943,0.1479367156775999
5.96,1.26,-0.7304821340853211,-0.49281554919667037,0.1339645932521496
6.11,4.35,-1.3579250459489016,-0.9161162827413742,0.2490326155276009
0.74,23.73,-0.13206159284815824,-0.0890945902308143,0.024219042115639598
9.66,20.23,-4.483748914087553,-3.0249352865049195,0.8222837650542022
3.12,2.53,-0.5056041058426546,-0.3411028873539081,0.09272375767360842
6.87,11.06,-2.6374829990618953,-1.7793626593032728,0.48369333169415646
1.31,12.43,-0.42094632720350644,-0.283989006360678,0.07719819674360108
2.66,16.6,-1.0965704500866382,-0.7397949154074424,0.20110226857516067
3.19,13.05,-1.3614801004747463,-0.9185146797271999,0.24968458415396622
5.51,4.7,-1.3136256207874522,-0.8862299316297503,0.24090845451647822
9.7,19.4,-4.389870986204891,-2.9616010851217616,0.8050673023409796
9.4,22.38,-4.465421475776952,-3.012570786190672,0.8189226591433678
6.02,23.05,-2.775997667641455,-1.8728107797741596,0.5090958163955135
0.98,4.98,-0.253697270471464,-0.17115539702233834,0.04652605459057073
0.55,8.2,-0.035766681396376676,-0.02412978485417381,0.006559323906319082
3.95,6.86,-1.3807704711393423,-0.9315288167877641,0.25322228417314824
8.3,8.98,-2.566413364353175,-1.73141594106621,0.4706597279110156
2.88,13.61,-1.2065329464741528,-0.8139804779552501,0.22126851277768367
1.5,20.07,-0.5167681964069974,-0.3486346765189231,0.09477116278003916
0.84,24.67,-0.18274312519120342,-0.12328659306060134,0.033513630646860956
7.75,5.05,-1.7716985037943722,-1.1952661542525491,0.32491536527919096
7.1,18.25,-3.315813558998361,-2.2369944504634773,0.6080937424806268
7.74,1.94,-1.1595913166133271,-0.78231157871654,0.21265979251271414
3.65,2.99,-0.6810298294819839,-0.4594528377558949,0.12489543527765261
8.64,15.62,-3.651364620194628,-2.4633720342411394,0.6696311289969611
3.38,1.68,-0.38441660053353605,-0.25934443742346824,0.07049893642413683
3.18,8.2,-1.3557363570373013,-0.9146396964189286,0.24863122744962213
7.32,15.98,-3.3659757194313435,-2.270836062036375,0.617293082348765
8.88,11.86,-3.1795174085876097,-2.145043040451025,0.5830981163049482
1.28,17.86,-0.4057418675005954,-0.2737314055117397,0.0744098201842348
7.63,14.08,-3.2057573891782662,-2.162745691675862,0.5879103193181975
7.73,12.4,-3.0205049448231467,-2.0377662009464483,0.5539364995641047
5.28,10.75,-2.2006377079812434,-1.4846475088671154,0.40357939186862646
3.21,12.76,-1.371476691055431,-0.9252588217770134,0.25151787908146833
9.08,6.31,-2.2315097101326415,-1.505475126662413,0.4092410706669312
4.16,18.91,-1.8463147436378888,-1.2456055691425993,0.338599388137817
2.37,2.02,-0.2823350030289566,-0.19047567775137436,0.051777986177552214
2.97,4.11,-0.7589968177661303,-0.512052815712354,0.13919395865722767
9.3,20.22,-4.392374397615098,-2.9632899971586464,0.8055264080133326
6.37,21.8,-2.9509380028034187,-1.9908332656456966,0.5411784776268005
8.06,4.75,-1.7643000696128548,-1.1902748433987553,0.3235585514988364
8.94,13.53,-3.464860470134413,-2.3375480874932975,0.6354277564066926
8.09,22.41,-3.8106447927421887,-2.570829481928676,0.6988418413919808
3.25,2.84,-0.583571094126801,-0.3937028653103461,0.10702228105318391
2.36,10.73,-0.9466215913763856,-0.6386327846604204,0.1736028446626292
8.2,21.53,-3.8656260409359473,-2.6079222632026213,0.7089249634932419
4.23,5.63,-1.251606425561427,-0.8443890400735069,0.22953462910090744
1.29,8.51,-0.4108100207348994,-0.27715060579472756,0.07533927903735681
9.43,8.15,-2.61957267454692,-1.7672795624001887,0.4804087211243619
5.24,17.61,-2.386130634994801,-1.6097892398319045,0.43759731422293163
3.7,24.3,-1.6163931602821744,-1.0904903019971575,0.29643360480526976
9.63,6.37,-2.3396003075265774,-1.5783978233747382,0.42906402353407025
5.02,7.59,-1.7389001023373434,-1.173138902301296,0.3189004002232512
2.92,1.02,-0.1784683510725194,-0.12040264141184633,0.03272967119140981
6.13,12.62,-2.647496644702715,-1.7861183074508122,0.48552975438356666
0.61,7.04,-0.06617560080220193,-0.044644986552056745,0.012136077025051834
9.09,6.07,-2.1907542389841117,-1.4779796836397467,0.4017668425366991
1.53,12.29,-0.5317630822780225,-0.35875088959362883,0.09752110517129228
9.86,6.13,-2.33413049004237,-1.574707642627452,0.4280609026632869
6.75,19.06,-3.140873223836398,-2.1189719645919514,0.5760110812493394
2.45,18.23,-0.9916062489894606,-0.6689814238845126,0.1818526718363888
3.74,15.84,-1.6363863414435416,-1.1039785860967528,0.30010019466027404
6.37,13.44,-2.810218386365988,-1.895897589848271,0.5153716230864855
0.99,20.9,-0.25876542370576805,-0.17457459730531263,0.047455513443693025
3.28,4.74,-0.9255626563731735,-0.62442549589202,0.16974080405904743
0.5,14.81,-0.010425915224852566,-0.007033783439280036,0.0019120296407080252
6.81,0.51,-0.7244425959779623,-0.48874100972419027,0.13285699016614627
5.17,5.74,-1.4376640112395074,-0.9699117147422923,0.26365610534762096
6.49,4.44,-1.441207965252421,-0.9723026228312388,0.26430603822851034
6.94,9.73,-2.4583227669592524,-1.6584932443539147,0.45083677504387715
9.37,3.52,-1.7404438940887772,-1.174180412482454,0.31918351930912153
3.48,2.93,-0.6402743583334533,-0.431957394733212,0.11742120714742031
9.25,21.95,-4.39044704642183,-2.9619897208171775,0.8051729471871022
2.65,16.53,-1.0915721547962949,-0.7364228443825356,0.20018562111140978
8.19,13.92,-3.3259211368680726,-2.2438134694462675,0.6099473915911227
5.34,6.12,-1.5351227465946946,-1.0356616871878461,0.2815292595720901
1.02,22.44,-0.27396988340868256,-0.1848321981542486,0.05024389000305931
